,0,1
0,/workspace/datasets/noise_dataset/images/real_estate_03689.jpeg,0.8446
1,/workspace/datasets/noise_dataset/images/real_estate_03690.jpeg,0.8304
2,/workspace/datasets/noise_dataset/images/real_estate_03691.jpeg,0.9558
3,/workspace/datasets/noise_dataset/images/real_estate_03692.jpeg,1.3226
4,/workspace/datasets/noise_dataset/images/real_estate_03693.jpeg,1.585
5,/workspace/datasets/noise_dataset/images/real_estate_03694.jpeg,0.935
6,/workspace/datasets/noise_dataset/images/real_estate_03695.jpeg,1.2872
7,/workspace/datasets/noise_dataset/images/real_estate_03696.jpeg,1.5068
8,/workspace/datasets/noise_dataset/images/real_estate_03697.jpeg,1.1103
9,/workspace/datasets/noise_dataset/images/real_estate_03698.jpeg,1.1005
10,/workspace/datasets/noise_dataset/images/real_estate_03699.jpeg,1.4881
11,/workspace/datasets/noise_dataset/images/real_estate_03700.jpeg,1.4734
12,/workspace/datasets/noise_dataset/images/real_estate_03701.jpeg,1.1874
13,/workspace/datasets/noise_dataset/images/real_estate_03702.jpeg,0.6278
14,/workspace/datasets/noise_dataset/images/real_estate_03703.jpeg,0.9888
15,/workspace/datasets/noise_dataset/images/real_estate_03704.jpeg,0.912
16,/workspace/datasets/noise_dataset/images/real_estate_03705.jpeg,0.8551
17,/workspace/datasets/noise_dataset/images/real_estate_03706.jpeg,0.9282
18,/workspace/datasets/noise_dataset/images/real_estate_03707.jpeg,1.7362
19,/workspace/datasets/noise_dataset/images/real_estate_03708.jpeg,0.9186
20,/workspace/datasets/noise_dataset/images/real_estate_03709.jpeg,0.2364
21,/workspace/datasets/noise_dataset/images/real_estate_03710.jpeg,1.2572
22,/workspace/datasets/noise_dataset/images/real_estate_03711.jpeg,0.6548
23,/workspace/datasets/noise_dataset/images/real_estate_03712.jpeg,0.8255
24,/workspace/datasets/noise_dataset/images/real_estate_18860.jpeg,1.2624
25,/workspace/datasets/noise_dataset/images/real_estate_18861.jpeg,1.3493
26,/workspace/datasets/noise_dataset/images/real_estate_18862.jpeg,0.6304
27,/workspace/datasets/noise_dataset/images/real_estate_18863.jpeg,0.865
28,/workspace/datasets/noise_dataset/images/real_estate_18864.jpeg,0.7547
29,/workspace/datasets/noise_dataset/images/real_estate_18865.jpeg,0.9306
30,/workspace/datasets/noise_dataset/images/real_estate_18866.jpeg,0.0601
31,/workspace/datasets/noise_dataset/images/real_estate_18867.jpeg,0.0703
32,/workspace/datasets/noise_dataset/images/real_estate_18868.jpeg,0.7891
33,/workspace/datasets/noise_dataset/images/real_estate_18869.jpeg,0.9402
34,/workspace/datasets/noise_dataset/images/real_estate_18870.jpeg,1.368
35,/workspace/datasets/noise_dataset/images/real_estate_18871.jpeg,0.7459
36,/workspace/datasets/noise_dataset/images/real_estate_18872.jpeg,1.0226
37,/workspace/datasets/noise_dataset/images/real_estate_18873.jpeg,0.6725
38,/workspace/datasets/noise_dataset/images/real_estate_18874.jpeg,1.0507
39,/workspace/datasets/noise_dataset/images/real_estate_18875.jpeg,1.4156
40,/workspace/datasets/noise_dataset/images/real_estate_18876.jpeg,1.466
41,/workspace/datasets/noise_dataset/images/real_estate_18877.jpeg,1.2081
42,/workspace/datasets/noise_dataset/images/real_estate_18878.jpeg,1.3131
43,/workspace/datasets/noise_dataset/images/real_estate_18879.jpeg,1.1339
44,/workspace/datasets/noise_dataset/images/real_estate_18880.jpeg,0.5532
45,/workspace/datasets/noise_dataset/images/real_estate_18881.jpeg,1.4099
46,/workspace/datasets/noise_dataset/images/real_estate_18882.jpeg,1.1389
47,/workspace/datasets/noise_dataset/images/real_estate_18883.jpeg,1.201
48,/workspace/datasets/noise_dataset/images/real_estate_18884.jpeg,1.4675
49,/workspace/datasets/noise_dataset/images/real_estate_18885.jpeg,1.0919
50,/workspace/datasets/noise_dataset/images/real_estate_18886.jpeg,1.3195
51,/workspace/datasets/noise_dataset/images/real_estate_18887.jpeg,0.9422
52,/workspace/datasets/noise_dataset/images/real_estate_18888.jpeg,1.3986
53,/workspace/datasets/noise_dataset/images/real_estate_18889.jpeg,1.4274
54,/workspace/datasets/noise_dataset/images/real_estate_18890.jpeg,1.129
55,/workspace/datasets/noise_dataset/images/real_estate_18891.jpeg,0.9117
56,/workspace/datasets/noise_dataset/images/real_estate_18892.jpeg,0.8275
57,/workspace/datasets/noise_dataset/images/real_estate_18893.jpeg,1.1543
58,/workspace/datasets/noise_dataset/images/real_estate_18894.jpeg,1.1073
59,/workspace/datasets/noise_dataset/images/real_estate_18895.jpeg,1.0778
60,/workspace/datasets/noise_dataset/images/real_estate_18896.jpeg,0.6745
61,/workspace/datasets/noise_dataset/images/real_estate_18897.jpeg,1.3224
62,/workspace/datasets/noise_dataset/images/real_estate_18898.jpeg,1.4845
63,/workspace/datasets/noise_dataset/images/real_estate_18899.jpeg,1.3286
64,/workspace/datasets/noise_dataset/images/real_estate_18900.jpeg,1.1919
65,/workspace/datasets/noise_dataset/images/real_estate_18901.jpeg,1.5313
66,/workspace/datasets/noise_dataset/images/real_estate_18902.jpeg,1.3427
67,/workspace/datasets/noise_dataset/images/real_estate_18903.jpeg,1.4417
68,/workspace/datasets/noise_dataset/images/real_estate_18904.jpeg,-0.2748
69,/workspace/datasets/noise_dataset/images/real_estate_18905.jpeg,-1.9434
70,/workspace/datasets/noise_dataset/images/real_estate_18906.jpeg,1.4712
71,/workspace/datasets/noise_dataset/images/real_estate_18907.jpeg,-0.013
72,/workspace/datasets/noise_dataset/images/real_estate_18908.jpeg,-1.7938
73,/workspace/datasets/noise_dataset/images/real_estate_18909.jpeg,1.6635
74,/workspace/datasets/noise_dataset/images/real_estate_18910.jpeg,-0.5928
75,/workspace/datasets/noise_dataset/images/real_estate_18911.jpeg,-2.0509
76,/workspace/datasets/noise_dataset/images/real_estate_18912.jpeg,1.3832
77,/workspace/datasets/noise_dataset/images/real_estate_18913.jpeg,-0.2213
78,/workspace/datasets/noise_dataset/images/real_estate_18914.jpeg,-1.9303
79,/workspace/datasets/noise_dataset/images/real_estate_18915.jpeg,1.694
80,/workspace/datasets/noise_dataset/images/real_estate_18916.jpeg,-2.0683
81,/workspace/datasets/noise_dataset/images/real_estate_18917.jpeg,1.5463
82,/workspace/datasets/noise_dataset/images/real_estate_18918.jpeg,0.098
83,/workspace/datasets/noise_dataset/images/real_estate_18919.jpeg,-1.5938
84,/workspace/datasets/noise_dataset/images/real_estate_18920.jpeg,1.7609
85,/workspace/datasets/noise_dataset/images/real_estate_18921.jpeg,-0.3556
86,/workspace/datasets/noise_dataset/images/real_estate_18922.jpeg,-1.9001
87,/workspace/datasets/noise_dataset/images/real_estate_18923.jpeg,1.3184
88,/workspace/datasets/noise_dataset/images/real_estate_18924.jpeg,-0.7412
89,/workspace/datasets/noise_dataset/images/real_estate_18925.jpeg,-2.0514
90,/workspace/datasets/noise_dataset/images/real_estate_18926.jpeg,1.0121
91,/workspace/datasets/noise_dataset/images/real_estate_18927.jpeg,-0.1095
92,/workspace/datasets/noise_dataset/images/real_estate_18928.jpeg,-1.8468
93,/workspace/datasets/noise_dataset/images/real_estate_18929.jpeg,1.7786
94,/workspace/datasets/noise_dataset/images/real_estate_18930.jpeg,-0.1403
95,/workspace/datasets/noise_dataset/images/real_estate_18931.jpeg,-1.757
96,/workspace/datasets/noise_dataset/images/real_estate_18932.jpeg,1.5228
97,/workspace/datasets/noise_dataset/images/real_estate_18933.jpeg,1.1416
98,/workspace/datasets/noise_dataset/images/real_estate_18934.jpeg,-0.908
99,/workspace/datasets/noise_dataset/images/real_estate_18935.jpeg,2.3972
100,/workspace/datasets/noise_dataset/images/real_estate_18936.jpeg,-1.1809
101,/workspace/datasets/noise_dataset/images/real_estate_18937.jpeg,-2.3867
102,/workspace/datasets/noise_dataset/images/real_estate_18938.jpeg,0.7829
103,/workspace/datasets/noise_dataset/images/real_estate_18939.jpeg,0.3361
104,/workspace/datasets/noise_dataset/images/real_estate_18940.jpeg,-1.5646
105,/workspace/datasets/noise_dataset/images/real_estate_18941.jpeg,1.8901
106,/workspace/datasets/noise_dataset/images/real_estate_18942.jpeg,-1.2371
107,/workspace/datasets/noise_dataset/images/real_estate_18943.jpeg,-2.4159
108,/workspace/datasets/noise_dataset/images/real_estate_18944.jpeg,0.785
109,/workspace/datasets/noise_dataset/images/real_estate_18945.jpeg,0.2781
110,/workspace/datasets/noise_dataset/images/real_estate_18946.jpeg,-1.6131
111,/workspace/datasets/noise_dataset/images/real_estate_18947.jpeg,2.1086
112,/workspace/datasets/noise_dataset/images/real_estate_18948.jpeg,0.3168
113,/workspace/datasets/noise_dataset/images/real_estate_18949.jpeg,-1.6644
114,/workspace/datasets/noise_dataset/images/real_estate_18950.jpeg,2.1673
115,/workspace/datasets/noise_dataset/images/real_estate_18951.jpeg,0.2384
116,/workspace/datasets/noise_dataset/images/real_estate_18952.jpeg,-1.799
117,/workspace/datasets/noise_dataset/images/real_estate_18953.jpeg,2.2618
118,/workspace/datasets/noise_dataset/images/real_estate_18954.jpeg,-0.4167
119,/workspace/datasets/noise_dataset/images/real_estate_18955.jpeg,-2.0201
120,/workspace/datasets/noise_dataset/images/real_estate_18956.jpeg,1.5934
